 

stn;time;tre200d0
TGERM;20211001;12.1
TGERM;20211002;15.6
TGERM;20211003;15.3
TGERM;20211004;12.5
TGERM;20211005;12.4
TGERM;20211006;10.7
TGERM;20211007;11.0
TGERM;20211008;12.4
TGERM;20211009;11.0
TGERM;20211010;7.0
TGERM;20211011;8.5
TGERM;20211012;9.5
TGERM;20211013;8.1
TGERM;20211014;7.3
TGERM;20211015;8.2
TGERM;20211016;9.0
TGERM;20211017;7.7
TGERM;20211018;8.9
TGERM;20211019;10.1
TGERM;20211020;14.1
TGERM;20211021;13.6
TGERM;20211022;8.3
TGERM;20211023;6.8
TGERM;20211024;5.5
TGERM;20211025;7.3
TGERM;20211026;9.1
TGERM;20211027;9.0
TGERM;20211028;8.0
TGERM;20211029;6.3
TGERM;20211030;7.3
TGERM;20211031;10.9
TGERM;20211101;9.3
TGERM;20211102;6.9
TGERM;20211103;6.4
TGERM;20211104;5.6
TGERM;20211105;5.9
TGERM;20211106;5.0
TGERM;20211107;6.3
TGERM;20211108;6.3
TGERM;20211109;5.2
TGERM;20211110;4.7
TGERM;20211111;5.0
TGERM;20211112;5.1
TGERM;20211113;6.0
TGERM;20211114;8.0
TGERM;20211115;6.2
TGERM;20211116;5.4
TGERM;20211117;5.6
TGERM;20211118;4.7
TGERM;20211119;2.9
TGERM;20211120;2.6
TGERM;20211121;3.2
TGERM;20211122;5.2
TGERM;20211123;4.2
TGERM;20211124;3.4
TGERM;20211125;2.7
TGERM;20211126;1.3
TGERM;20211127;1.7
TGERM;20211128;1.7
TGERM;20211129;1.0
TGERM;20211130;1.8
TGERM;20211201;6.1
TGERM;20211202;3.6
TGERM;20211203;1.3
TGERM;20211204;4.4
TGERM;20211205;2.8
TGERM;20211206;1.7
TGERM;20211207;2.1
TGERM;20211208;1.8
TGERM;20211209;2.0
TGERM;20211210;0.8
TGERM;20211211;2.7
TGERM;20211212;2.4
TGERM;20211213;3.5
TGERM;20211214;2.2
TGERM;20211215;3.4
TGERM;20211216;3.3
TGERM;20211217;4.1
TGERM;20211218;1.6
TGERM;20211219;-0.3
TGERM;20211220;0.9
TGERM;20211221;-0.7
TGERM;20211222;-1.4
TGERM;20211223;0.3
TGERM;20211224;6.2
TGERM;20211225;5.3
TGERM;20211226;5.9
TGERM;20211227;5.8
TGERM;20211228;7.5
TGERM;20211229;8.6
TGERM;20211230;13.2
TGERM;20211231;9.2
TGERM;20220101;3.2
TGERM;20220102;4.0
TGERM;20220103;10.9
TGERM;20220104;11.0
TGERM;20220105;2.2
TGERM;20220106;0.7
TGERM;20220107;0.8
TGERM;20220108;2.0
TGERM;20220109;2.6
TGERM;20220110;2.1
TGERM;20220111;2.4
TGERM;20220112;-0.4
TGERM;20220113;-1.1
TGERM;20220114;-0.5
TGERM;20220115;-0.6
TGERM;20220116;1.0
TGERM;20220117;3.5
TGERM;20220118;3.2
TGERM;20220119;2.7
TGERM;20220120;2.4
TGERM;20220121;1.1
TGERM;20220122;1.6
TGERM;20220123;1.8
TGERM;20220124;0.8
TGERM;20220125;0.0
TGERM;20220126;-0.9
TGERM;20220127;-0.1
TGERM;20220128;2.8
TGERM;20220129;4.3
TGERM;20220130;5.4
TGERM;20220131;3.1
TGERM;20220201;2.1
TGERM;20220202;6.4
TGERM;20220203;6.7
TGERM;20220204;6.1
TGERM;20220205;3.5
TGERM;20220206;4.7
TGERM;20220207;3.9
TGERM;20220208;2.9
TGERM;20220209;2.7
TGERM;20220210;5.5
TGERM;20220211;4.1
TGERM;20220212;1.3
TGERM;20220213;1.5
TGERM;20220214;3.3
TGERM;20220215;5.1
TGERM;20220216;6.2
TGERM;20220217;11.1
TGERM;20220218;10.5
TGERM;20220219;5.6
TGERM;20220220;8.0
TGERM;20220221;5.5
TGERM;20220222;6.6
TGERM;20220223;7.2
TGERM;20220224;5.8
TGERM;20220225;3.3
TGERM;20220226;2.4
TGERM;20220227;3.3
TGERM;20220228;2.3
TGERM;20220301;1.8
TGERM;20220302;2.3
TGERM;20220303;4.8
TGERM;20220304;3.2
TGERM;20220305;1.7
TGERM;20220306;1.1
TGERM;20220307;1.4
TGERM;20220308;0.7
TGERM;20220309;3.1
TGERM;20220310;5.7
TGERM;20220311;5.7
TGERM;20220312;6.7
TGERM;20220313;8.1
TGERM;20220314;9.4
TGERM;20220315;6.9
TGERM;20220316;8.0
TGERM;20220317;8.6
TGERM;20220318;8.9
TGERM;20220319;7.8
TGERM;20220320;8.0
TGERM;20220321;8.5
TGERM;20220322;8.1
TGERM;20220323;9.3
TGERM;20220324;10.1
TGERM;20220325;11.2
TGERM;20220326;12.3
TGERM;20220327;11.8
TGERM;20220328;11.6
TGERM;20220329;11.6
TGERM;20220330;10.2
TGERM;20220331;8.6
TGERM;20220401;3.6
TGERM;20220402;0.4
TGERM;20220403;1.6
TGERM;20220404;3.6
TGERM;20220405;8.2
TGERM;20220406;11.9
TGERM;20220407;10.9
TGERM;20220408;11.0
TGERM;20220409;5.7
TGERM;20220410;5.4
TGERM;20220411;8.5
TGERM;20220412;12.8
TGERM;20220413;15.9
TGERM;20220414;16.2
TGERM;20220415;15.6
TGERM;20220416;10.6
TGERM;20220417;9.4
TGERM;20220418;10.2
TGERM;20220419;11.6
TGERM;20220420;10.5
TGERM;20220421;11.3
TGERM;20220422;11.5
TGERM;20220423;11.2
TGERM;20220424;9.6
TGERM;20220425;10.5
TGERM;20220426;8.6
TGERM;20220427;11.0
TGERM;20220428;12.5
TGERM;20220429;12.9
TGERM;20220430;11.2
TGERM;20220501;11.1
TGERM;20220502;13.1
TGERM;20220503;14.1
TGERM;20220504;13.6
TGERM;20220505;12.8
TGERM;20220506;12.9
TGERM;20220507;13.6
TGERM;20220508;14.9
TGERM;20220509;16.6
TGERM;20220510;17.6
TGERM;20220511;20.9
TGERM;20220512;22.0
TGERM;20220513;17.7
TGERM;20220514;18.5
TGERM;20220515;20.2
TGERM;20220516;19.5
TGERM;20220517;19.5
TGERM;20220518;21.0
TGERM;20220519;21.6
TGERM;20220520;23.8
TGERM;20220521;19.1
TGERM;20220522;18.3
TGERM;20220523;18.7
TGERM;20220524;14.6
TGERM;20220525;15.7
TGERM;20220526;17.5
TGERM;20220527;17.8
TGERM;20220528;14.9
TGERM;20220529;11.8
TGERM;20220530;13.6
TGERM;20220531;15.7
TGERM;20220601;15.6
TGERM;20220602;17.8
TGERM;20220603;18.9
TGERM;20220604;21.6
TGERM;20220605;18.4
TGERM;20220606;18.6
TGERM;20220607;16.6
TGERM;20220608;16.0
TGERM;20220609;14.0
TGERM;20220610;16.6
TGERM;20220611;19.3
TGERM;20220612;21.9
TGERM;20220613;20.1
TGERM;20220614;19.7
TGERM;20220615;22.2
TGERM;20220616;24.1
TGERM;20220617;22.9
TGERM;20220618;24.6
TGERM;20220619;27.2
TGERM;20220620;25.6
TGERM;20220621;22.0
TGERM;20220622;20.0
TGERM;20220623;22.0
TGERM;20220624;17.5
TGERM;20220625;20.0
TGERM;20220626;23.6
TGERM;20220627;20.0
TGERM;20220628;18.8
TGERM;20220629;21.2
TGERM;20220630;22.0
TGERM;20220701;15.2
TGERM;20220702;19.6
TGERM;20220703;23.0
TGERM;20220704;20.1
TGERM;20220705;21.6
TGERM;20220706;20.9
TGERM;20220707;19.1
TGERM;20220708;19.0
TGERM;20220709;19.7
TGERM;20220710;19.7
TGERM;20220711;19.3
TGERM;20220712;21.0
TGERM;20220713;23.4
TGERM;20220714;26.4
TGERM;20220715;23.6
TGERM;20220716;21.9
TGERM;20220717;23.0
TGERM;20220718;24.0
TGERM;20220719;25.8
TGERM;20220720;25.4
TGERM;20220721;23.0
TGERM;20220722;25.3
TGERM;20220723;21.6
TGERM;20220724;24.3
TGERM;20220725;26.8
TGERM;20220726;22.8
TGERM;20220727;22.0
TGERM;20220728;21.8
TGERM;20220729;19.4
TGERM;20220730;21.9
TGERM;20220731;24.0
TGERM;20220801;24.0
