 

stn;time;rka150d0
TGERM;20211001;0.0
TGERM;20211002;0.0
TGERM;20211003;0.0
TGERM;20211004;4.6
TGERM;20211005;1.6
TGERM;20211006;7.0
TGERM;20211007;0.0
TGERM;20211008;0.0
TGERM;20211009;0.0
TGERM;20211010;0.0
TGERM;20211011;0.0
TGERM;20211012;4.2
TGERM;20211013;0.8
TGERM;20211014;0.0
TGERM;20211015;0.0
TGERM;20211016;0.0
TGERM;20211017;0.0
TGERM;20211018;0.0
TGERM;20211019;0.0
TGERM;20211020;0.0
TGERM;20211021;8.4
TGERM;20211022;0.2
TGERM;20211023;0.0
TGERM;20211024;0.0
TGERM;20211025;0.0
TGERM;20211026;0.2
TGERM;20211027;0.0
TGERM;20211028;0.0
TGERM;20211029;0.0
TGERM;20211030;0.0
TGERM;20211031;0.0
TGERM;20211101;4.4
TGERM;20211102;2.4
TGERM;20211103;1.2
TGERM;20211104;2.0
TGERM;20211105;0.0
TGERM;20211106;0.0
TGERM;20211107;0.0
TGERM;20211108;0.0
TGERM;20211109;0.0
TGERM;20211110;0.0
TGERM;20211111;0.0
TGERM;20211112;0.0
TGERM;20211113;0.2
TGERM;20211114;0.4
TGERM;20211115;0.0
TGERM;20211116;0.0
TGERM;20211117;0.0
TGERM;20211118;0.0
TGERM;20211119;0.0
TGERM;20211120;0.0
TGERM;20211121;0.0
TGERM;20211122;0.0
TGERM;20211123;0.0
TGERM;20211124;0.0
TGERM;20211125;0.0
TGERM;20211126;2.6
TGERM;20211127;0.2
TGERM;20211128;0.4
TGERM;20211129;1.2
TGERM;20211130;3.8
TGERM;20211201;2.4
TGERM;20211202;3.2
TGERM;20211203;0.0
TGERM;20211204;26.8
TGERM;20211205;1.6
TGERM;20211206;0.0
TGERM;20211207;0.6
TGERM;20211208;12.6
TGERM;20211209;1.8
TGERM;20211210;1.8
TGERM;20211211;0.2
TGERM;20211212;0.0
TGERM;20211213;0.0
TGERM;20211214;0.0
TGERM;20211215;0.0
TGERM;20211216;0.0
TGERM;20211217;0.0
TGERM;20211218;0.0
TGERM;20211219;0.0
TGERM;20211220;0.0
TGERM;20211221;0.0
TGERM;20211222;0.0
TGERM;20211223;0.0
TGERM;20211224;0.4
TGERM;20211225;3.2
TGERM;20211226;5.8
TGERM;20211227;1.4
TGERM;20211228;5.2
TGERM;20211229;2.8
TGERM;20211230;0.0
TGERM;20211231;0.0
TGERM;20220101;0.0
TGERM;20220102;0.0
TGERM;20220103;0.0
TGERM;20220104;6.4
TGERM;20220105;8.8
TGERM;20220106;0.0
TGERM;20220107;0.6
TGERM;20220108;2.2
TGERM;20220109;6.6
TGERM;20220110;2.2
TGERM;20220111;0.0
TGERM;20220112;0.0
TGERM;20220113;0.0
TGERM;20220114;0.0
TGERM;20220115;0.0
TGERM;20220116;0.0
TGERM;20220117;0.0
TGERM;20220118;0.0
TGERM;20220119;0.0
TGERM;20220120;0.6
TGERM;20220121;0.0
TGERM;20220122;0.0
TGERM;20220123;0.0
TGERM;20220124;0.0
TGERM;20220125;0.0
TGERM;20220126;0.0
TGERM;20220127;1.4
TGERM;20220128;0.2
TGERM;20220129;0.0
TGERM;20220130;0.0
TGERM;20220131;5.6
TGERM;20220201;1.0
TGERM;20220202;1.0
TGERM;20220203;0.0
TGERM;20220204;0.0
TGERM;20220205;0.4
TGERM;20220206;6.0
TGERM;20220207;9.6
TGERM;20220208;0.0
TGERM;20220209;0.0
TGERM;20220210;0.0
TGERM;20220211;7.2
TGERM;20220212;0.0
TGERM;20220213;0.0
TGERM;20220214;0.0
TGERM;20220215;1.2
TGERM;20220216;0.6
TGERM;20220217;0.2
TGERM;20220218;1.2
TGERM;20220219;0.4
TGERM;20220220;0.0
TGERM;20220221;11.6
TGERM;20220222;0.0
TGERM;20220223;0.0
TGERM;20220224;0.2
TGERM;20220225;1.0
TGERM;20220226;0.0
TGERM;20220227;0.0
TGERM;20220228;0.0
TGERM;20220301;0.0
TGERM;20220302;0.0
TGERM;20220303;0.0
TGERM;20220304;0.0
TGERM;20220305;0.0
TGERM;20220306;0.0
TGERM;20220307;0.0
TGERM;20220308;0.0
TGERM;20220309;0.0
TGERM;20220310;0.0
TGERM;20220311;0.0
TGERM;20220312;0.0
TGERM;20220313;0.0
TGERM;20220314;0.0
TGERM;20220315;0.0
TGERM;20220316;0.0
TGERM;20220317;0.0
TGERM;20220318;0.2
TGERM;20220319;0.0
TGERM;20220320;0.0
TGERM;20220321;0.0
TGERM;20220322;0.0
TGERM;20220323;0.0
TGERM;20220324;0.0
TGERM;20220325;0.0
TGERM;20220326;0.0
TGERM;20220327;0.0
TGERM;20220328;0.0
TGERM;20220329;0.0
TGERM;20220330;3.6
TGERM;20220331;2.0
TGERM;20220401;5.8
TGERM;20220402;3.0
TGERM;20220403;0.0
TGERM;20220404;0.0
TGERM;20220405;0.0
TGERM;20220406;0.2
TGERM;20220407;9.8
TGERM;20220408;7.8
TGERM;20220409;5.4
TGERM;20220410;0.0
TGERM;20220411;0.0
TGERM;20220412;0.0
TGERM;20220413;0.0
TGERM;20220414;2.6
TGERM;20220415;0.8
TGERM;20220416;0.0
TGERM;20220417;0.0
TGERM;20220418;0.0
TGERM;20220419;0.0
TGERM;20220420;0.0
TGERM;20220421;0.0
TGERM;20220422;0.0
TGERM;20220423;0.0
TGERM;20220424;7.8
TGERM;20220425;2.0
TGERM;20220426;12.6
TGERM;20220427;0.0
TGERM;20220428;0.0
TGERM;20220429;0.0
TGERM;20220430;2.6
TGERM;20220501;0.0
TGERM;20220502;0.0
TGERM;20220503;0.0
TGERM;20220504;0.0
TGERM;20220505;37.0
TGERM;20220506;4.0
TGERM;20220507;1.0
TGERM;20220508;0.0
TGERM;20220509;0.0
TGERM;20220510;0.0
TGERM;20220511;0.0
TGERM;20220512;0.0
TGERM;20220513;0.2
TGERM;20220514;0.0
TGERM;20220515;0.0
TGERM;20220516;3.0
TGERM;20220517;0.0
TGERM;20220518;0.0
TGERM;20220519;0.0
TGERM;20220520;0.4
TGERM;20220521;7.8
TGERM;20220522;0.0
TGERM;20220523;21.8
TGERM;20220524;2.4
TGERM;20220525;1.2
TGERM;20220526;0.0
TGERM;20220527;0.0
TGERM;20220528;0.0
TGERM;20220529;0.2
TGERM;20220530;0.0
TGERM;20220531;0.0
TGERM;20220601;2.4
TGERM;20220602;0.0
TGERM;20220603;0.2
TGERM;20220604;2.2
TGERM;20220605;9.8
TGERM;20220606;2.2
TGERM;20220607;5.0
TGERM;20220608;0.6
TGERM;20220609;10.8
TGERM;20220610;0.0
TGERM;20220611;0.0
TGERM;20220612;5.2
TGERM;20220613;5.2
TGERM;20220614;0.0
TGERM;20220615;0.0
TGERM;20220616;0.0
TGERM;20220617;0.0
TGERM;20220618;0.0
TGERM;20220619;0.0
TGERM;20220620;0.0
TGERM;20220621;16.4
TGERM;20220622;3.6
TGERM;20220623;15.4
TGERM;20220624;6.4
TGERM;20220625;0.0
TGERM;20220626;1.2
TGERM;20220627;4.2
TGERM;20220628;0.2
TGERM;20220629;0.0
TGERM;20220630;7.2
TGERM;20220701;6.4
TGERM;20220702;0.0
TGERM;20220703;0.4
TGERM;20220704;4.8
TGERM;20220705;0.0
TGERM;20220706;0.0
TGERM;20220707;0.0
TGERM;20220708;0.0
TGERM;20220709;0.0
TGERM;20220710;0.0
TGERM;20220711;0.0
TGERM;20220712;0.0
TGERM;20220713;0.0
TGERM;20220714;0.0
TGERM;20220715;0.0
TGERM;20220716;0.0
TGERM;20220717;0.0
TGERM;20220718;0.0
TGERM;20220719;0.0
TGERM;20220720;4.0
TGERM;20220721;0.0
TGERM;20220722;9.6
TGERM;20220723;4.0
TGERM;20220724;0.0
TGERM;20220725;0.0
TGERM;20220726;0.0
TGERM;20220727;0.0
TGERM;20220728;1.4
TGERM;20220729;0.8
TGERM;20220730;0.0
TGERM;20220731;0.0
TGERM;20220801;1.2
