Datum,LINDAU - Niederschlag (mm oder Liter/m2)
01.10.2021,0
02.10.2021,0
03.10.2021,0
04.10.2021,2.4
05.10.2021,7.4
06.10.2021,4.6
07.10.2021,0.6
08.10.2021,0
09.10.2021,0
10.10.2021,0
11.10.2021,0
12.10.2021,1
13.10.2021,3.4
14.10.2021,0
15.10.2021,0
16.10.2021,0
17.10.2021,0.2
18.10.2021,0
19.10.2021,0
20.10.2021,0
21.10.2021,4.2
22.10.2021,1.8
23.10.2021,0
24.10.2021,0
25.10.2021,0.2
26.10.2021,0.2
27.10.2021,0
28.10.2021,0.2
29.10.2021,0.4
30.10.2021,0.4
31.10.2021,0
01.11.2021,4.4
02.11.2021,3.8
03.11.2021,1.8
04.11.2021,2
05.11.2021,0
06.11.2021,0
07.11.2021,0.2
08.11.2021,1.6
09.11.2021,0
10.11.2021,0
11.11.2021,0.2
12.11.2021,0.2
13.11.2021,2.2
14.11.2021,2.2
15.11.2021,0
16.11.2021,0.2
17.11.2021,0
18.11.2021,0
19.11.2021,0.2
20.11.2021,0.2
21.11.2021,0
22.11.2021,1.2
23.11.2021,0
24.11.2021,0
25.11.2021,0
26.11.2021,0.8
27.11.2021,2.2
28.11.2021,0.6
29.11.2021,4.2
30.11.2021,0
01.12.2021,3.8
02.12.2021,4.4
03.12.2021,2.4
04.12.2021,25.8
05.12.2021,0.6
06.12.2021,0
07.12.2021,3.2
08.12.2021,10
09.12.2021,7.2
10.12.2021,9
11.12.2021,7.6
12.12.2021,0
13.12.2021,0
14.12.2021,0.2
15.12.2021,0.2
16.12.2021,0
17.12.2021,0
18.12.2021,0
19.12.2021,0
20.12.2021,0
21.12.2021,0
22.12.2021,0
23.12.2021,0
24.12.2021,3.2
25.12.2021,6
26.12.2021,14.2
27.12.2021,6.6
28.12.2021,9.4
29.12.2021,10.4
30.12.2021,0.6
31.12.2021,0
01.01.2022,0
02.01.2022,0
03.01.2022,0
04.01.2022,4.2
05.01.2022,14
06.01.2022,0.8
07.01.2022,0
08.01.2022,3.8
09.01.2022,7.6
10.01.2022,6.8
11.01.2022,1.6
12.01.2022,0
13.01.2022,0
14.01.2022,0
15.01.2022,0
16.01.2022,0
17.01.2022,0
18.01.2022,0
19.01.2022,0
20.01.2022,1.2
21.01.2022,0
22.01.2022,0
23.01.2022,0
24.01.2022,0
25.01.2022,0
26.01.2022,0
27.01.2022,0.4
28.01.2022,2.6
29.01.2022,0
30.01.2022,0
31.01.2022,6.4
01.02.2022,2.8
02.02.2022,3.6
03.02.2022,0.4
04.02.2022,0
05.02.2022,1.4
06.02.2022,0.4
07.02.2022,6
08.02.2022,0
09.02.2022,0
10.02.2022,0
11.02.2022,12.8
12.02.2022,0
13.02.2022,0
14.02.2022,0.6
15.02.2022,2.8
16.02.2022,4.4
17.02.2022,6.8
18.02.2022,0.8
19.02.2022,4.2
20.02.2022,0
21.02.2022,8.4
22.02.2022,1.8
23.02.2022,0.4
24.02.2022,0
25.02.2022,2
26.02.2022,0.4
27.02.2022,0
28.02.2022,0
01.03.2022,0
02.03.2022,0
03.03.2022,0
04.03.2022,0
05.03.2022,0
06.03.2022,0
07.03.2022,0
08.03.2022,0
09.03.2022,0
10.03.2022,0
11.03.2022,0
12.03.2022,0
13.03.2022,0
14.03.2022,0.4
15.03.2022,1.4
16.03.2022,0
17.03.2022,0
18.03.2022,1.8
19.03.2022,0
20.03.2022,0
21.03.2022,0
22.03.2022,0
23.03.2022,0
24.03.2022,0
25.03.2022,0
26.03.2022,0
27.03.2022,0
28.03.2022,0
29.03.2022,0
30.03.2022,11.4
31.03.2022,3.4
01.04.2022,12.6
02.04.2022,6
03.04.2022,5
04.04.2022,0.8
05.04.2022,0
06.04.2022,0
07.04.2022,11.6
08.04.2022,22.6
09.04.2022,3.4
10.04.2022,0.6
11.04.2022,0
12.04.2022,0
13.04.2022,0
14.04.2022,0
15.04.2022,1.6
16.04.2022,0
17.04.2022,0
18.04.2022,0
19.04.2022,0
20.04.2022,0
21.04.2022,0
22.04.2022,0
23.04.2022,0
24.04.2022,21.6
25.04.2022,10
26.04.2022,13.8
27.04.2022,0
28.04.2022,0
29.04.2022,0
30.04.2022,7.8
01.05.2022,0
02.05.2022,0
03.05.2022,1.8
04.05.2022,0.6
05.05.2022,28.4
06.05.2022,12.2
07.05.2022,6
08.05.2022,0
09.05.2022,0
10.05.2022,0
11.05.2022,0
12.05.2022,0
13.05.2022,0.4
14.05.2022,0
15.05.2022,2.4
16.05.2022,0.4
17.05.2022,0
18.05.2022,0
19.05.2022,4.4
20.05.2022,0
21.05.2022,0.8
22.05.2022,0.2
23.05.2022,6.6
24.05.2022,4.4
25.05.2022,2
26.05.2022,0
27.05.2022,0
28.05.2022,0
29.05.2022,0
30.05.2022,0
31.05.2022,0
01.06.2022,2
02.06.2022,0
03.06.2022,0.6
04.06.2022,2.6
05.06.2022,16
06.06.2022,1.4
07.06.2022,15
08.06.2022,1.6
09.06.2022,8
10.06.2022,0
11.06.2022,0
12.06.2022,3.4
13.06.2022,1.4
14.06.2022,0
15.06.2022,0
16.06.2022,4
17.06.2022,0
18.06.2022,0
19.06.2022,0
20.06.2022,0
21.06.2022,0
22.06.2022,7
23.06.2022,2.6
24.06.2022,33.6
25.06.2022,0
26.06.2022,2.2
27.06.2022,8.8
28.06.2022,0.2
29.06.2022,0
30.06.2022,13
01.07.2022,9.4
02.07.2022,0
03.07.2022,0
04.07.2022,7.6
05.07.2022,0.2
06.07.2022,0
07.07.2022,0
08.07.2022,0
09.07.2022,0
10.07.2022,0
11.07.2022,0
12.07.2022,0
13.07.2022,0
14.07.2022,0
15.07.2022,0
16.07.2022,0
17.07.2022,0
18.07.2022,0
19.07.2022,0
20.07.2022,10.2
21.07.2022,0
22.07.2022,0
23.07.2022,6.2
24.07.2022,0
25.07.2022,0
26.07.2022,1.4
27.07.2022,0
28.07.2022,0.2
29.07.2022,12.4
30.07.2022,0
31.07.2022,0
01.08.2022,4
