 

stn;time;tre200d0
TAE;20211001;11.4
TAE;20211002;15.7
TAE;20211003;14.8
TAE;20211004;11.6
TAE;20211005;11.8
TAE;20211006;9.7
TAE;20211007;9.6
TAE;20211008;10.5
TAE;20211009;8.9
TAE;20211010;6.0
TAE;20211011;6.3
TAE;20211012;8.3
TAE;20211013;6.7
TAE;20211014;4.6
TAE;20211015;6.9
TAE;20211016;6.3
TAE;20211017;5.8
TAE;20211018;7.0
TAE;20211019;9.1
TAE;20211020;13.7
TAE;20211021;13.1
TAE;20211022;7.5
TAE;20211023;4.9
TAE;20211024;3.8
TAE;20211025;6.3
TAE;20211026;8.9
TAE;20211027;6.3
TAE;20211028;6.3
TAE;20211029;4.6
TAE;20211030;6.0
TAE;20211031;10.6
TAE;20211101;8.9
TAE;20211102;6.1
TAE;20211103;4.9
TAE;20211104;4.7
TAE;20211105;4.3
TAE;20211106;3.2
TAE;20211107;4.7
TAE;20211108;4.9
TAE;20211109;3.0
TAE;20211110;3.2
TAE;20211111;2.7
TAE;20211112;2.6
TAE;20211113;4.9
TAE;20211114;7.0
TAE;20211115;5.0
TAE;20211116;4.5
TAE;20211117;4.1
TAE;20211118;2.3
TAE;20211119;0.7
TAE;20211120;1.7
TAE;20211121;2.2
TAE;20211122;3.7
TAE;20211123;3.1
TAE;20211124;2.2
TAE;20211125;1.1
TAE;20211126;0.8
TAE;20211127;1.2
TAE;20211128;0.8
TAE;20211129;-0.2
TAE;20211130;1.0
TAE;20211201;5.2
TAE;20211202;2.7
TAE;20211203;0.1
TAE;20211204;4.1
TAE;20211205;2.1
TAE;20211206;0.4
TAE;20211207;0.2
TAE;20211208;0.7
TAE;20211209;1.0
TAE;20211210;-0.7
TAE;20211211;1.8
TAE;20211212;0.8
TAE;20211213;1.3
TAE;20211214;0.3
TAE;20211215;0.8
TAE;20211216;1.7
TAE;20211217;2.0
TAE;20211218;0.7
TAE;20211219;-1.4
TAE;20211220;-0.4
TAE;20211221;-1.5
TAE;20211222;-2.7
TAE;20211223;1.5
TAE;20211224;7.6
TAE;20211225;7.2
TAE;20211226;6.3
TAE;20211227;5.4
TAE;20211228;7.2
TAE;20211229;8.4
TAE;20211230;12.3
TAE;20211231;8.9
TAE;20220101;4.2
TAE;20220102;7.3
TAE;20220103;10.3
TAE;20220104;10.6
TAE;20220105;1.2
TAE;20220106;-1.0
TAE;20220107;-0.5
TAE;20220108;1.6
TAE;20220109;1.8
TAE;20220110;0.1
TAE;20220111;0.4
TAE;20220112;-2.4
TAE;20220113;-3.5
TAE;20220114;-3.4
TAE;20220115;-3.6
TAE;20220116;-0.6
TAE;20220117;2.8
TAE;20220118;1.3
TAE;20220119;1.5
TAE;20220120;1.2
TAE;20220121;-0.6
TAE;20220122;-0.4
TAE;20220123;0.7
TAE;20220124;-0.3
TAE;20220125;-0.3
TAE;20220126;-1.8
TAE;20220127;-0.7
TAE;20220128;2.0
TAE;20220129;4.0
TAE;20220130;4.6
TAE;20220131;2.3
