 

stn;time;rka150d0
BEINS;20211001;0.0
BEINS;20211002;0.0
BEINS;20211003;7.9
BEINS;20211004;9.5
BEINS;20211005;4.6
BEINS;20211006;3.6
BEINS;20211007;0.1
BEINS;20211008;0.0
BEINS;20211009;0.0
BEINS;20211010;0.0
BEINS;20211011;0.0
BEINS;20211012;0.0
BEINS;20211013;2.7
BEINS;20211014;0.0
BEINS;20211015;0.0
BEINS;20211016;0.0
BEINS;20211017;0.0
BEINS;20211018;0.0
BEINS;20211019;0.0
BEINS;20211020;0.0
BEINS;20211021;7.0
BEINS;20211022;0.7
BEINS;20211023;0.0
BEINS;20211024;0.0
BEINS;20211025;0.0
BEINS;20211026;0.0
BEINS;20211027;0.0
BEINS;20211028;0.1
BEINS;20211029;0.1
BEINS;20211030;2.7
BEINS;20211031;0.2
BEINS;20211101;17.4
BEINS;20211102;1.8
BEINS;20211103;3.6
BEINS;20211104;0.1
BEINS;20211105;0.0
BEINS;20211106;0.0
BEINS;20211107;0.0
BEINS;20211108;0.0
BEINS;20211109;0.0
BEINS;20211110;0.0
BEINS;20211111;0.0
BEINS;20211112;0.0
BEINS;20211113;0.0
BEINS;20211114;0.4
BEINS;20211115;0.0
BEINS;20211116;0.0
BEINS;20211117;0.0
BEINS;20211118;0.0
BEINS;20211119;0.0
BEINS;20211120;0.0
BEINS;20211121;0.0
BEINS;20211122;0.6
BEINS;20211123;0.0
BEINS;20211124;0.0
BEINS;20211125;0.6
BEINS;20211126;0.1
BEINS;20211127;0.8
BEINS;20211128;2.1
BEINS;20211129;0.0
BEINS;20211130;0.1
BEINS;20211201;1.2
BEINS;20211202;0.6
BEINS;20211203;0.4
BEINS;20211204;22.4
BEINS;20211205;5.2
BEINS;20211206;0.1
BEINS;20211207;2.5
BEINS;20211208;18.6
BEINS;20211209;0.1
BEINS;20211210;14.4
BEINS;20211211;0.8
BEINS;20211212;0.0
BEINS;20211213;0.0
BEINS;20211214;0.0
BEINS;20211215;0.0
BEINS;20211216;0.1
BEINS;20211217;0.0
BEINS;20211218;0.0
BEINS;20211219;0.0
BEINS;20211220;0.0
BEINS;20211221;0.0
BEINS;20211222;0.0
BEINS;20211223;0.0
BEINS;20211224;0.1
BEINS;20211225;3.4
BEINS;20211226;12.2
BEINS;20211227;3.7
BEINS;20211228;8.5
BEINS;20211229;15.3
BEINS;20211230;0.5
BEINS;20211231;0.1
BEINS;20220101;0.0
BEINS;20220102;0.0
BEINS;20220103;0.0
BEINS;20220104;2.4
BEINS;20220105;5.9
BEINS;20220106;0.0
BEINS;20220107;0.1
BEINS;20220108;4.9
BEINS;20220109;7.6
BEINS;20220110;0.0
BEINS;20220111;0.0
BEINS;20220112;0.0
BEINS;20220113;0.0
BEINS;20220114;0.0
BEINS;20220115;0.0
BEINS;20220116;0.0
BEINS;20220117;0.0
BEINS;20220118;0.0
BEINS;20220119;0.0
BEINS;20220120;0.0
BEINS;20220121;0.0
BEINS;20220122;0.0
BEINS;20220123;0.0
BEINS;20220124;0.0
BEINS;20220125;0.0
BEINS;20220126;0.0
BEINS;20220127;0.0
BEINS;20220128;0.0
BEINS;20220129;0.0
BEINS;20220130;0.0
BEINS;20220131;1.2
BEINS;20220201;0.1
BEINS;20220202;2.3
BEINS;20220203;0.0
BEINS;20220204;0.0
BEINS;20220205;0.0
BEINS;20220206;1.5
BEINS;20220207;3.3
BEINS;20220208;0.0
BEINS;20220209;0.0
BEINS;20220210;0.6
BEINS;20220211;0.7
BEINS;20220212;0.0
BEINS;20220213;0.0
BEINS;20220214;4.1
BEINS;20220215;1.0
BEINS;20220216;3.1
BEINS;20220217;1.9
BEINS;20220218;0.0
BEINS;20220219;0.0
BEINS;20220220;0.0
BEINS;20220221;5.1
BEINS;20220222;3.2
BEINS;20220223;0.1
BEINS;20220224;0.0
BEINS;20220225;0.0
BEINS;20220226;0.0
BEINS;20220227;0.0
BEINS;20220228;0.0
BEINS;20220301;0.0
BEINS;20220302;0.0
BEINS;20220303;0.0
BEINS;20220304;0.0
BEINS;20220305;0.0
BEINS;20220306;0.0
BEINS;20220307;0.0
BEINS;20220308;0.0
BEINS;20220309;0.0
BEINS;20220310;0.0
BEINS;20220311;0.0
BEINS;20220312;0.0
BEINS;20220313;0.0
BEINS;20220314;0.4
BEINS;20220315;7.0
BEINS;20220316;0.0
BEINS;20220317;0.0
BEINS;20220318;0.0
BEINS;20220319;0.0
BEINS;20220320;0.0
BEINS;20220321;0.0
BEINS;20220322;-
BEINS;20220323;-
BEINS;20220324;0.0
BEINS;20220325;0.0
BEINS;20220326;0.0
BEINS;20220327;0.0
BEINS;20220328;0.0
BEINS;20220329;0.0
BEINS;20220330;1.8
BEINS;20220331;2.0
BEINS;20220401;2.4
BEINS;20220402;0.1
BEINS;20220403;0.0
BEINS;20220404;0.0
BEINS;20220405;0.0
BEINS;20220406;0.1
BEINS;20220407;8.5
BEINS;20220408;12.6
BEINS;20220409;0.7
BEINS;20220410;0.0
BEINS;20220411;0.0
BEINS;20220412;0.0
BEINS;20220413;0.0
BEINS;20220414;0.0
BEINS;20220415;0.0
BEINS;20220416;0.0
BEINS;20220417;0.0
BEINS;20220418;0.0
BEINS;20220419;0.0
BEINS;20220420;0.0
BEINS;20220421;0.0
BEINS;20220422;0.0
BEINS;20220423;8.8
BEINS;20220424;8.0
BEINS;20220425;18.1
BEINS;20220426;4.6
BEINS;20220427;0.0
BEINS;20220428;0.0
BEINS;20220429;0.0
BEINS;20220430;10.6
BEINS;20220501;0.0
BEINS;20220502;0.0
BEINS;20220503;0.0
BEINS;20220504;1.1
BEINS;20220505;8.5
BEINS;20220506;0.7
BEINS;20220507;1.7
BEINS;20220508;0.1
BEINS;20220509;0.0
BEINS;20220510;0.0
BEINS;20220511;0.0
BEINS;20220512;0.2
BEINS;20220513;3.3
BEINS;20220514;0.0
BEINS;20220515;0.0
BEINS;20220516;0.0
BEINS;20220517;0.0
BEINS;20220518;0.0
BEINS;20220519;0.0
BEINS;20220520;0.0
BEINS;20220521;0.0
BEINS;20220522;0.4
BEINS;20220523;0.1
BEINS;20220524;1.4
BEINS;20220525;0.0
BEINS;20220526;0.0
BEINS;20220527;0.0
BEINS;20220528;0.0
BEINS;20220529;0.0
BEINS;20220530;0.0
BEINS;20220531;0.3
BEINS;20220601;0.5
BEINS;20220602;0.0
BEINS;20220603;0.7
BEINS;20220604;6.6
BEINS;20220605;7.6
BEINS;20220606;1.0
BEINS;20220607;4.7
BEINS;20220608;0.5
BEINS;20220609;6.4
BEINS;20220610;0.0
BEINS;20220611;0.0
BEINS;20220612;0.0
BEINS;20220613;0.0
BEINS;20220614;0.0
BEINS;20220615;0.0
BEINS;20220616;0.0
BEINS;20220617;0.0
BEINS;20220618;0.0
BEINS;20220619;0.0
BEINS;20220620;0.0
BEINS;20220621;0.0
BEINS;20220622;17.1
BEINS;20220623;4.6
BEINS;20220624;10.7
BEINS;20220625;11.7
BEINS;20220626;0.0
BEINS;20220627;0.6
BEINS;20220628;2.8
BEINS;20220629;0.0
BEINS;20220630;9.1
BEINS;20220701;3.8
BEINS;20220702;0.0
BEINS;20220703;7.4
BEINS;20220704;21.7
BEINS;20220705;0.2
BEINS;20220706;0.0
BEINS;20220707;0.0
BEINS;20220708;0.0
BEINS;20220709;0.0
BEINS;20220710;0.0
BEINS;20220711;0.0
BEINS;20220712;0.0
BEINS;20220713;0.0
BEINS;20220714;0.0
BEINS;20220715;0.0
BEINS;20220716;0.0
BEINS;20220717;0.0
BEINS;20220718;0.0
BEINS;20220719;0.0
BEINS;20220720;7.0
BEINS;20220721;0.0
BEINS;20220722;1.3
BEINS;20220723;10.6
BEINS;20220724;0.0
BEINS;20220725;0.0
BEINS;20220726;0.6
BEINS;20220727;0.0
BEINS;20220728;0.0
BEINS;20220729;4.6
BEINS;20220730;0.0
BEINS;20220731;0.0
BEINS;20220801;0.0
