Datum,LINDAU - Temperatur Durchschnitt +2 m (°C)
01.10.2021,12.3
02.10.2021,16.4
03.10.2021,15.5
04.10.2021,11.4
05.10.2021,11.5
06.10.2021,9.4
07.10.2021,9.6
08.10.2021,10.8
09.10.2021,9.9
10.10.2021,7.2
11.10.2021,6.2
12.10.2021,7.9
13.10.2021,7.7
14.10.2021,5.8
15.10.2021,7.9
16.10.2021,7.3
17.10.2021,7.5
18.10.2021,8.7
19.10.2021,10.9
20.10.2021,13.1
21.10.2021,13.1
22.10.2021,7.7
23.10.2021,5.9
24.10.2021,5.7
25.10.2021,7.7
26.10.2021,9.4
27.10.2021,7.3
28.10.2021,7.4
29.10.2021,5.8
30.10.2021,5.7
31.10.2021,11.6
01.11.2021,8.9
02.11.2021,6.5
03.11.2021,4.7
04.11.2021,4.4
05.11.2021,5
06.11.2021,3.9
07.11.2021,4
08.11.2021,5.6
09.11.2021,3.3
10.11.2021,3.3
11.11.2021,3.7
12.11.2021,2.9
13.11.2021,5.1
14.11.2021,7
15.11.2021,5
16.11.2021,4.4
17.11.2021,4
18.11.2021,3.6
19.11.2021,1.1
20.11.2021,1.3
21.11.2021,2.8
22.11.2021,3.4
23.11.2021,2.9
24.11.2021,2.4
25.11.2021,1.2
26.11.2021,0.1
27.11.2021,1
28.11.2021,0.4
29.11.2021,-0.3
30.11.2021,0.2
01.12.2021,4.5
02.12.2021,2.5
03.12.2021,-0.1
04.12.2021,2.6
05.12.2021,2
06.12.2021,0.4
07.12.2021,1.2
08.12.2021,0.7
09.12.2021,0.4
10.12.2021,-0.6
11.12.2021,1.2
12.12.2021,1
13.12.2021,2.2
14.12.2021,0.5
15.12.2021,0.7
16.12.2021,1.7
17.12.2021,2.3
18.12.2021,0.7
19.12.2021,-1
20.12.2021,-0.4
21.12.2021,-1.4
22.12.2021,-2.5
23.12.2021,0.6
24.12.2021,4.9
25.12.2021,5.6
26.12.2021,5.5
27.12.2021,4.8
28.12.2021,6.4
29.12.2021,7.2
30.12.2021,11.6
31.12.2021,8.8
01.01.2022,6.4
02.01.2022,6.8
03.01.2022,9.4
04.01.2022,10.3
05.01.2022,0.9
06.01.2022,-1
07.01.2022,-1
08.01.2022,1
09.01.2022,1.7
10.01.2022,0.5
11.01.2022,0.4
12.01.2022,-1.6
13.01.2022,-2.5
14.01.2022,-1.3
15.01.2022,-1.6
16.01.2022,-1.5
17.01.2022,2
18.01.2022,1.5
19.01.2022,1.2
20.01.2022,0.9
21.01.2022,-0.4
22.01.2022,-0.3
23.01.2022,0.7
24.01.2022,-0.2
25.01.2022,-0.1
26.01.2022,-1
27.01.2022,-1.8
28.01.2022,1.7
29.01.2022,2.5
30.01.2022,4.9
31.01.2022,1.9
01.02.2022,0.6
02.02.2022,4.7
03.02.2022,5.5
04.02.2022,4.6
05.02.2022,3
06.02.2022,3.2
07.02.2022,2.8
08.02.2022,3.2
09.02.2022,4.4
10.02.2022,5.8
11.02.2022,3.9
12.02.2022,0.6
13.02.2022,3.2
14.02.2022,4.5
15.02.2022,3.7
16.02.2022,3.7
17.02.2022,9.6
18.02.2022,9.7
19.02.2022,4
20.02.2022,6.5
21.02.2022,4.8
22.02.2022,5
23.02.2022,7
24.02.2022,6.7
25.02.2022,2.5
26.02.2022,1.2
27.02.2022,1.4
28.02.2022,1.6
01.03.2022,1.5
02.03.2022,3
03.03.2022,5.4
04.03.2022,3.1
05.03.2022,0.7
06.03.2022,-0.3
07.03.2022,-0.1
08.03.2022,-0.1
09.03.2022,3.7
10.03.2022,5.3
11.03.2022,5.7
12.03.2022,7.5
13.03.2022,9
14.03.2022,9.2
15.03.2022,6.7
16.03.2022,9.2
17.03.2022,8.7
18.03.2022,7.5
19.03.2022,7
20.03.2022,8.1
21.03.2022,8.8
22.03.2022,8.7
23.03.2022,9.6
24.03.2022,10.4
25.03.2022,11.1
26.03.2022,11.5
27.03.2022,11.8
28.03.2022,12.2
