 

stn;time;rka150d0
TAE;20211001;0.0
TAE;20211002;0.0
TAE;20211003;0.0
TAE;20211004;4.5
TAE;20211005;6.4
TAE;20211006;3.3
TAE;20211007;0.4
TAE;20211008;0.0
TAE;20211009;0.0
TAE;20211010;0.0
TAE;20211011;0.0
TAE;20211012;4.5
TAE;20211013;2.4
TAE;20211014;0.0
TAE;20211015;0.0
TAE;20211016;0.0
TAE;20211017;0.0
TAE;20211018;0.0
TAE;20211019;0.0
TAE;20211020;0.0
TAE;20211021;7.0
TAE;20211022;4.2
TAE;20211023;0.0
TAE;20211024;0.0
TAE;20211025;0.0
TAE;20211026;0.1
TAE;20211027;0.0
TAE;20211028;0.0
TAE;20211029;0.0
TAE;20211030;0.2
TAE;20211031;0.0
TAE;20211101;4.2
TAE;20211102;4.8
TAE;20211103;1.3
TAE;20211104;2.5
TAE;20211105;0.0
TAE;20211106;0.0
TAE;20211107;0.3
TAE;20211108;1.3
TAE;20211109;0.0
TAE;20211110;0.0
TAE;20211111;0.0
TAE;20211112;0.0
TAE;20211113;2.3
TAE;20211114;2.4
TAE;20211115;0.2
TAE;20211116;0.2
TAE;20211117;0.0
TAE;20211118;0.0
TAE;20211119;0.0
TAE;20211120;0.0
TAE;20211121;0.0
TAE;20211122;0.9
TAE;20211123;0.0
TAE;20211124;0.0
TAE;20211125;0.1
TAE;20211126;2.0
TAE;20211127;1.0
TAE;20211128;2.0
TAE;20211129;3.7
TAE;20211130;8.4
TAE;20211201;5.5
TAE;20211202;5.0
TAE;20211203;0.8
TAE;20211204;39.8
TAE;20211205;0.8
TAE;20211206;0.0
TAE;20211207;1.5
TAE;20211208;22.8
TAE;20211209;5.2
TAE;20211210;3.7
TAE;20211211;0.8
TAE;20211212;0.0
TAE;20211213;0.0
TAE;20211214;0.0
TAE;20211215;0.0
TAE;20211216;0.0
TAE;20211217;0.0
TAE;20211218;0.0
TAE;20211219;0.0
TAE;20211220;0.0
TAE;20211221;0.0
TAE;20211222;0.0
TAE;20211223;0.1
TAE;20211224;3.3
TAE;20211225;6.2
TAE;20211226;11.8
TAE;20211227;3.7
TAE;20211228;12.9
TAE;20211229;6.3
TAE;20211230;0.4
TAE;20211231;0.0
TAE;20220101;0.0
TAE;20220102;0.0
TAE;20220103;0.0
TAE;20220104;10.7
TAE;20220105;14.4
TAE;20220106;1.6
TAE;20220107;0.4
TAE;20220108;1.9
TAE;20220109;15.2
TAE;20220110;1.6
TAE;20220111;0.0
TAE;20220112;0.0
TAE;20220113;0.0
TAE;20220114;0.0
TAE;20220115;0.0
TAE;20220116;0.0
TAE;20220117;0.0
TAE;20220118;0.0
TAE;20220119;0.0
TAE;20220120;0.9
TAE;20220121;0.0
TAE;20220122;0.0
TAE;20220123;0.0
TAE;20220124;0.0
TAE;20220125;0.0
TAE;20220126;0.0
TAE;20220127;2.9
TAE;20220128;0.0
TAE;20220129;0.0
TAE;20220130;0.0
TAE;20220131;9.6
TAE;20220201;1.7
TAE;20220202;5.1
TAE;20220203;0.0
TAE;20220204;0.3
TAE;20220205;1.7
TAE;20220206;2.6
TAE;20220207;9.4
TAE;20220208;0.0
TAE;20220209;0.0
TAE;20220210;0.1
TAE;20220211;17.1
TAE;20220212;0.0
TAE;20220213;0.0
TAE;20220214;0.2
TAE;20220215;1.1
TAE;20220216;1.8
TAE;20220217;7.3
TAE;20220218;1.3
TAE;20220219;5.1
TAE;20220220;0.0
TAE;20220221;10.5
TAE;20220222;1.2
TAE;20220223;0.0
TAE;20220224;1.0
TAE;20220225;0.8
TAE;20220226;0.0
TAE;20220227;0.0
TAE;20220228;0.0
TAE;20220301;0.0
TAE;20220302;0.0
TAE;20220303;0.0
TAE;20220304;0.0
TAE;20220305;0.0
TAE;20220306;0.0
TAE;20220307;0.0
TAE;20220308;0.0
TAE;20220309;0.0
TAE;20220310;0.0
TAE;20220311;0.0
TAE;20220312;0.0
TAE;20220313;0.0
TAE;20220314;0.0
TAE;20220315;0.8
TAE;20220316;0.0
TAE;20220317;0.0
TAE;20220318;4.9
TAE;20220319;0.0
TAE;20220320;0.0
TAE;20220321;0.0
TAE;20220322;0.0
TAE;20220323;0.0
TAE;20220324;0.0
TAE;20220325;0.0
TAE;20220326;0.0
TAE;20220327;0.0
TAE;20220328;0.0
TAE;20220329;0.0
TAE;20220330;7.6
TAE;20220331;4.4
TAE;20220401;28.3
TAE;20220402;5.9
TAE;20220403;0.1
TAE;20220404;0.0
TAE;20220405;0.1
TAE;20220406;0.2
TAE;20220407;24.5
TAE;20220408;20.6
TAE;20220409;4.0
TAE;20220410;0.0
TAE;20220411;0.0
TAE;20220412;0.0
TAE;20220413;0.0
TAE;20220414;0.0
TAE;20220415;0.3
TAE;20220416;0.0
TAE;20220417;0.0
TAE;20220418;0.0
TAE;20220419;0.0
TAE;20220420;0.0
TAE;20220421;0.0
TAE;20220422;0.0
TAE;20220423;0.0
TAE;20220424;19.6
TAE;20220425;7.0
TAE;20220426;12.3
TAE;20220427;0.0
TAE;20220428;0.0
TAE;20220429;0.0
TAE;20220430;3.7
TAE;20220501;0.0
TAE;20220502;0.0
TAE;20220503;0.0
TAE;20220504;2.6
TAE;20220505;57.8
TAE;20220506;8.4
TAE;20220507;0.2
TAE;20220508;0.0
TAE;20220509;0.0
TAE;20220510;0.0
TAE;20220511;0.0
TAE;20220512;0.0
TAE;20220513;0.6
TAE;20220514;0.0
TAE;20220515;7.1
TAE;20220516;0.0
TAE;20220517;0.0
TAE;20220518;0.0
TAE;20220519;0.0
TAE;20220520;0.1
TAE;20220521;3.2
TAE;20220522;1.4
TAE;20220523;7.2
TAE;20220524;4.8
TAE;20220525;2.4
TAE;20220526;0.0
TAE;20220527;0.0
TAE;20220528;0.0
TAE;20220529;0.0
TAE;20220530;0.0
TAE;20220531;0.6
TAE;20220601;3.4
TAE;20220602;0.0
TAE;20220603;0.8
TAE;20220604;3.8
TAE;20220605;10.2
TAE;20220606;4.2
TAE;20220607;11.8
TAE;20220608;4.0
TAE;20220609;9.3
TAE;20220610;0.0
TAE;20220611;0.0
TAE;20220612;15.0
TAE;20220613;1.1
TAE;20220614;0.0
TAE;20220615;0.0
TAE;20220616;0.0
TAE;20220617;0.0
TAE;20220618;0.0
TAE;20220619;0.0
TAE;20220620;0.0
TAE;20220621;11.9
TAE;20220622;4.7
TAE;20220623;22.3
TAE;20220624;10.7
TAE;20220625;0.1
TAE;20220626;1.4
TAE;20220627;4.2
TAE;20220628;0.0
TAE;20220629;0.0
TAE;20220630;17.5
TAE;20220701;9.1
TAE;20220702;0.0
TAE;20220703;0.1
TAE;20220704;6.3
TAE;20220705;0.0
TAE;20220706;0.0
TAE;20220707;0.0
TAE;20220708;0.0
TAE;20220709;0.0
TAE;20220710;0.0
TAE;20220711;0.0
TAE;20220712;0.0
TAE;20220713;0.0
TAE;20220714;0.0
TAE;20220715;0.0
TAE;20220716;0.0
TAE;20220717;0.0
TAE;20220718;0.0
TAE;20220719;0.0
TAE;20220720;1.8
TAE;20220721;0.0
TAE;20220722;0.5
TAE;20220723;8.7
TAE;20220724;0.0
TAE;20220725;4.0
TAE;20220726;1.5
TAE;20220727;0.0
TAE;20220728;1.6
TAE;20220729;11.2
TAE;20220730;0.4
TAE;20220731;0.0
TAE;20220801;9.2
