 

stn;time;tre200d0
BEINS;20211001;14.3
BEINS;20211002;17.9
BEINS;20211003;16.4
BEINS;20211004;12.9
BEINS;20211005;14.2
BEINS;20211006;12.2
BEINS;20211007;12.5
BEINS;20211008;13.3
BEINS;20211009;12.2
BEINS;20211010;10.0
BEINS;20211011;9.2
BEINS;20211012;10.5
BEINS;20211013;10.5
BEINS;20211014;9.0
BEINS;20211015;9.4
BEINS;20211016;10.3
BEINS;20211017;9.9
BEINS;20211018;10.8
BEINS;20211019;12.7
BEINS;20211020;15.8
BEINS;20211021;15.1
BEINS;20211022;11.3
BEINS;20211023;8.0
BEINS;20211024;7.6
BEINS;20211025;10.5
BEINS;20211026;12.0
BEINS;20211027;8.5
BEINS;20211028;8.9
BEINS;20211029;8.7
BEINS;20211030;7.7
BEINS;20211031;11.6
BEINS;20211101;11.3
BEINS;20211102;9.2
BEINS;20211103;7.5
BEINS;20211104;7.7
BEINS;20211105;7.9
BEINS;20211106;6.4
BEINS;20211107;4.7
BEINS;20211108;7.8
BEINS;20211109;5.5
BEINS;20211110;4.7
BEINS;20211111;4.5
BEINS;20211112;4.9
BEINS;20211113;8.2
BEINS;20211114;9.3
BEINS;20211115;8.0
BEINS;20211116;7.7
BEINS;20211117;7.1
BEINS;20211118;6.4
BEINS;20211119;2.9
BEINS;20211120;2.7
BEINS;20211121;4.7
BEINS;20211122;6.2
BEINS;20211123;5.5
BEINS;20211124;4.8
BEINS;20211125;3.6
BEINS;20211126;3.9
BEINS;20211127;4.2
BEINS;20211128;3.2
BEINS;20211129;3.0
BEINS;20211130;3.0
BEINS;20211201;6.5
BEINS;20211202;4.9
BEINS;20211203;2.0
BEINS;20211204;6.1
BEINS;20211205;3.4
BEINS;20211206;2.8
BEINS;20211207;4.3
BEINS;20211208;3.7
BEINS;20211209;3.2
BEINS;20211210;2.1
BEINS;20211211;3.0
BEINS;20211212;0.1
BEINS;20211213;-0.2
BEINS;20211214;0.2
BEINS;20211215;1.0
BEINS;20211216;3.1
BEINS;20211217;4.2
BEINS;20211218;3.5
BEINS;20211219;0.0
BEINS;20211220;0.7
BEINS;20211221;0.8
BEINS;20211222;0.0
BEINS;20211223;2.3
BEINS;20211224;4.9
BEINS;20211225;5.3
BEINS;20211226;6.8
BEINS;20211227;7.2
BEINS;20211228;9.7
BEINS;20211229;9.6
BEINS;20211230;11.9
BEINS;20211231;8.8
BEINS;20220101;2.7
BEINS;20220102;6.2
BEINS;20220103;11.8
BEINS;20220104;12.5
BEINS;20220105;4.0
BEINS;20220106;2.4
BEINS;20220107;1.4
BEINS;20220108;3.7
BEINS;20220109;4.3
BEINS;20220110;2.8
BEINS;20220111;2.9
BEINS;20220112;1.6
BEINS;20220113;0.4
BEINS;20220114;0.2
BEINS;20220115;-0.4
BEINS;20220116;0.5
BEINS;20220117;3.5
BEINS;20220118;3.5
BEINS;20220119;3.9
BEINS;20220120;4.1
BEINS;20220121;1.8
BEINS;20220122;2.6
BEINS;20220123;2.1
BEINS;20220124;1.6
BEINS;20220125;0.5
BEINS;20220126;-0.2
BEINS;20220127;0.3
BEINS;20220128;3.3
BEINS;20220129;4.8
BEINS;20220130;6.5
BEINS;20220131;4.2
BEINS;20220201;3.8
BEINS;20220202;6.8
BEINS;20220203;4.1
BEINS;20220204;5.6
BEINS;20220205;6.3
BEINS;20220206;5.1
BEINS;20220207;5.7
BEINS;20220208;3.1
BEINS;20220209;4.2
BEINS;20220210;7.2
BEINS;20220211;6.6
BEINS;20220212;2.6
BEINS;20220213;3.9
BEINS;20220214;4.0
BEINS;20220215;5.8
BEINS;20220216;6.7
BEINS;20220217;11.5
BEINS;20220218;10.9
BEINS;20220219;7.4
BEINS;20220220;8.5
BEINS;20220221;7.0
BEINS;20220222;7.8
BEINS;20220223;9.0
BEINS;20220224;7.2
BEINS;20220225;6.1
BEINS;20220226;4.6
BEINS;20220227;4.0
BEINS;20220228;4.7
BEINS;20220301;5.0
BEINS;20220302;5.5
BEINS;20220303;8.0
BEINS;20220304;5.9
BEINS;20220305;4.0
BEINS;20220306;3.1
BEINS;20220307;3.3
BEINS;20220308;3.3
BEINS;20220309;5.3
BEINS;20220310;6.5
BEINS;20220311;7.2
BEINS;20220312;10.6
BEINS;20220313;10.6
BEINS;20220314;10.1
BEINS;20220315;9.3
BEINS;20220316;9.2
BEINS;20220317;11.8
BEINS;20220318;10.8
BEINS;20220319;10.1
BEINS;20220320;9.5
BEINS;20220321;10.3
BEINS;20220322;9.6
BEINS;20220323;10.3
BEINS;20220324;11.2
BEINS;20220325;12.3
BEINS;20220326;13.8
BEINS;20220327;12.3
BEINS;20220328;12.2
BEINS;20220329;13.2
BEINS;20220330;11.6
BEINS;20220331;9.5
BEINS;20220401;3.3
BEINS;20220402;2.6
BEINS;20220403;2.3
BEINS;20220404;5.3
BEINS;20220405;10.4
BEINS;20220406;12.4
BEINS;20220407;10.7
BEINS;20220408;11.9
BEINS;20220409;7.3
BEINS;20220410;8.2
BEINS;20220411;10.3
BEINS;20220412;14.0
BEINS;20220413;17.2
BEINS;20220414;17.7
BEINS;20220415;17.6
BEINS;20220416;14.1
BEINS;20220417;12.1
BEINS;20220418;12.7
BEINS;20220419;13.6
BEINS;20220420;14.4
BEINS;20220421;13.8
BEINS;20220422;13.6
BEINS;20220423;12.9
BEINS;20220424;10.5
BEINS;20220425;11.2
BEINS;20220426;12.3
BEINS;20220427;12.9
BEINS;20220428;15.0
BEINS;20220429;15.0
BEINS;20220430;13.7
BEINS;20220501;13.1
BEINS;20220502;15.1
BEINS;20220503;15.2
BEINS;20220504;15.2
BEINS;20220505;12.8
BEINS;20220506;13.8
BEINS;20220507;15.5
BEINS;20220508;15.9
BEINS;20220509;18.2
BEINS;20220510;18.9
BEINS;20220511;21.5
BEINS;20220512;21.9
BEINS;20220513;19.8
BEINS;20220514;20.8
BEINS;20220515;21.6
BEINS;20220516;20.8
BEINS;20220517;22.0
BEINS;20220518;23.3
BEINS;20220519;23.3
BEINS;20220520;24.6
BEINS;20220521;24.3
BEINS;20220522;21.6
BEINS;20220523;21.7
BEINS;20220524;16.9
BEINS;20220525;18.4
BEINS;20220526;18.8
BEINS;20220527;19.5
BEINS;20220528;18.4
BEINS;20220529;15.8
BEINS;20220530;16.9
BEINS;20220531;16.7
BEINS;20220601;17.4
BEINS;20220602;21.1
BEINS;20220603;21.2
BEINS;20220604;23.7
BEINS;20220605;21.4
BEINS;20220606;20.5
BEINS;20220607;19.5
BEINS;20220608;16.7
BEINS;20220609;16.0
BEINS;20220610;18.4
BEINS;20220611;21.8
BEINS;20220612;23.6
BEINS;20220613;23.4
BEINS;20220614;22.5
BEINS;20220615;25.0
BEINS;20220616;26.6
BEINS;20220617;25.6
BEINS;20220618;27.6
BEINS;20220619;29.0
BEINS;20220620;28.2
BEINS;20220621;26.7
BEINS;20220622;21.9
BEINS;20220623;22.6
BEINS;20220624;18.8
BEINS;20220625;21.6
BEINS;20220626;23.6
BEINS;20220627;21.3
BEINS;20220628;19.8
BEINS;20220629;23.3
BEINS;20220630;22.5
BEINS;20220701;18.6
BEINS;20220702;21.6
BEINS;20220703;24.3
BEINS;20220704;22.1
