phenology [BBCH],greenLAI,Crop,ccc
25,1.644444444,Winter Wheat,0.876598518336415
26,2.385777778,Winter Wheat,1.26175834093779
28,2.316074074,Winter Wheat,1.28145805101356
28,3.596333333,Winter Wheat,1.60692165162299
30,3.869222222,Winter Wheat,1.63117810616514
30,4.561555556,Winter Wheat,2.3159017557812
32,5.119666667,Winter Wheat,3.0467136335317
33,6.152555556,Winter Wheat,3.3451444557972
45,5.847444444,Winter Wheat,3.2757383775288
58,5.870888889,Winter Wheat,3.1826088667269
61,6.200888889,Winter Wheat,3.4464540445062
65,5.502078066,Winter Wheat,3.1785504987282
69,5.838606027,Winter Wheat,3.1680276302502
75,5.544074659,Winter Wheat,3.0059972801098
83,5.371039365,Winter Wheat,2.285914353744
87,0.761747067,Winter Wheat,0.1387141409007
26,0.280966667,Winter Wheat,0.1459621835065
28,1.450777778,Winter Wheat,0.741347444558
30,3.099111111,Winter Wheat,1.5641213777217
31,3.826055556,Winter Wheat,1.7902113946524
32,4.955,Winter Wheat,2.495338
58,5.931555556,Winter Wheat,3.1360134224572
60,5.264888889,Winter Wheat,2.8330367111709
61,6.376888889,Winter Wheat,3.5423617778395
65,5.383799589,Winter Wheat,2.8647197613069
69,5.98272587383597,Winter Wheat,2.80284059716022
85,3.285020906,Winter Wheat,1.0778153592586
87,0,Winter Wheat,0
25.8,0.616,Winter Wheat,0.345804148148148
26,0.934933333333333,Winter Wheat,0.498319466666666
28,1.4856,Winter Wheat,0.804865066666667
28,1.897,Winter Wheat,1.03702666666667
29,3.14366666666667,Winter Wheat,1.56711783333334
31,3.76416666666667,Winter Wheat,1.95761761111111
32,4.97266666666667,Winter Wheat,2.84723842962963
33,5.52533333333334,Winter Wheat,3.10892088888889
51,6.2082,Winter Wheat,3.3717424
58,5.739,Winter Wheat,3.171754
69,6.09366666666667,Winter Wheat,3.30953807407408
69,6.025,Winter Wheat,3.28764166666667
73,5.63366666666667,Winter Wheat,2.89570466666667
77,4.932,Winter Wheat,2.3686752
89,1.107,Winter Wheat,0.1695186
92,0,Winter Wheat,0
13,0.215343888888889,Winter Wheat,0.111643842839506
26,0.400177777777778,Winter Wheat,0.209746512592592
27,0.823211111111111,Winter Wheat,0.508415182222222
28,1.06031111111111,Winter Wheat,0.818937177283949
29,1.60711111111111,Winter Wheat,0.860447288888888
29,3.10388888888889,Winter Wheat,1.52925156790124
30,3.31966666666667,Winter Wheat,1.86897233333334
31,4.32633333333333,Winter Wheat,2.41611295555556
57,4.61166666666667,Winter Wheat,2.52053203703704
71,,Winter Wheat,
75,5.33981240177352,Winter Wheat,2.86297008483533
75,1.94949755782466,Winter Wheat,0.662894152912311
85,0.17704579152113,Winter Wheat,0.03446491408278
92,,Winter Wheat,
17,0.26268,Winter Barley,0.108521864
26,0.541277777777778,Winter Barley,0.241987251851852
27.5,0.874955555555555,Winter Barley,0.506268727901234
27.5,1.07633333333333,Winter Barley,0.606190933333332
29,1.71833333333333,Winter Barley,0.719189324074073
30,3.24733333333333,Winter Barley,1.43019776296296
30,3.12866666666667,Winter Barley,1.41061151111111
41,4.71166666666667,Winter Barley,2.73276666666667
65,4.503,Winter Barley,2.12251406666667
83,,Winter Barley,
89,0,Winter Barley,0
92,,Winter Barley,
13,0.171711111,Corn,0.0634129132923
30,0.207444444,Corn,0.079762388718
31,0.638688889,Corn,0.2598186400452
32,1.572333333,Corn,0.779877333168
51,3.707222222,Corn,1.8917954998866
63,2.883722222,Corn,1.5032843943286
71,3.875222222,Corn,1.9639626221096
83,3.900777778,Corn,2.0369861556716
83,3.860666667,Corn,2.1295437335172
85,3.060666667,Corn,1.6426598001789
85,2.36801374,Corn,1.173824410918
30,0.427655556,Corn,0.1679831023968
31,1.014744444,Corn,0.3961562309376
32,1.785211111,Corn,0.860471755502
35,2.525,Corn,1.35643
51,3.589444444,Corn,1.9982437219748
65,3.376333333,Corn,2.0234365664669
73,3.401333333,Corn,2.0322966664675
75,3.607,Corn,2.1926953
75,3.631444444,Corn,2.2086445108408
75,3.674,Corn,2.2242396
83,3.387888889,Corn,1.944648222286
83,3.229309649,Corn,1.856853048175
87,3.788481247,Corn,2.0863166227229
11,0.0710866666666667,Corn,0.016650077037037
14,0.12513,Corn,0.0349668833333332
25,0.118953333333333,Corn,0.0359635577777776
30,0.409033333333333,Corn,0.154587331111111
30,0.458433333333333,Corn,0.184595822222222
33,0.820566666666667,Corn,0.368926773333333
34,1.74533333333333,Corn,0.858005866666665
51,2.20633333333333,Corn,1.22024942222222
63,2.66733333333333,Corn,1.50313124444444
65,2.89866666666667,Corn,1.72915128888889
67,3.11233333333333,Corn,1.876737
79,3.37633333333333,Corn,1.9812324
80,3.043,Corn,1.7046886
32,4.17,Winter Wheat,2.81475
31,4.23,Winter Wheat,2.82141
31,,Winter Wheat,
31,,Winter Wheat,
31,,Winter Wheat,
31,,Winter Wheat,
32,3.91,Winter Wheat,2.65489
32,3.29,Winter Wheat,2.14837
32,3.68,Winter Wheat,2.53184
32,3.65,Winter Wheat,2.49295
32,3.79,Winter Wheat,2.52414
32,3.18,Winter Wheat,2.10834
