,scene_id,date,gdd_cumsum,point_id,lai_all,lai_q05_all,lai_q95_all,ccc_all,ccc_q05_all,ccc_q95_all,error_all,SCL,B02,B03,B04,B05,B06,B07,B8A,B11,B12,lai_stemelongation-endofheading,lai_q05_stemelongation-endofheading,lai_q95_stemelongation-endofheading,ccc_stemelongation-endofheading,ccc_q05_stemelongation-endofheading,ccc_q95_stemelongation-endofheading,error_stemelongation-endofheading,lai_flowering-fruitdevelopment-plantdead,lai_q05_flowering-fruitdevelopment-plantdead,lai_q95_flowering-fruitdevelopment-plantdead,ccc_flowering-fruitdevelopment-plantdead,ccc_q05_flowering-fruitdevelopment-plantdead,ccc_q95_flowering-fruitdevelopment-plantdead,error_flowering-fruitdevelopment-plantdead,lai_germination-endoftillering,lai_q05_germination-endoftillering,lai_q95_germination-endoftillering,ccc_germination-endoftillering,ccc_q05_germination-endoftillering,ccc_q95_germination-endoftillering,error_germination-endoftillering,lai (Phenology),lai_q05 (Phenology),lai_q95 (Phenology),ccc (Phenology),ccc_q05 (Phenology),ccc_q95 (Phenology),Macro-Stage,parcel,location
0,S2A_MSIL2A_20220305T102921_N0400_R108_T32TNT_20220305T135811.SAFE,2022-03-05,629.0999999999999,0,0.8406112343072891,0.10152988042682409,2.15868604183197,0.28677022084593773,1.4180385421447284e-08,1.056766539812088,0.5219166129827499,5.0,0.06898749992251396,0.10344999935477972,0.11782499961555004,0.1555000003427267,0.21212500147521496,0.22872500121593475,0.24596249870955944,0.2612374946475029,0.21206249855458736,1.0429003983736038,0.5615964308381081,2.338194966316223,0.39774446934461594,0.12428257334977388,1.1704111844301224,0.561830922961235,,,,,,,,0.3731660656630993,0.1787820179015398,0.591935321688652,0.09627614915370941,0.01756724395090714,0.2652495503425598,0.01869877055287361,0.3731660656630993,0.1787820179015398,0.591935321688652,0.09627614915370941,0.01756724395090714,0.2652495503425598,germination - end of tillering,Broatefaeld,Arenenberg
1,S2B_MSIL2A_20220307T101759_N0400_R065_T32TMT_20220307T133430.SAFE,2022-03-07,631.5999999999999,0,0.9239588528871536,0.0999986482784152,2.8905811309814453,0.3218669891357422,8.403022777603297e-09,1.3622619360685349,0.6395179554820061,5.0,0.08937500137835741,0.11874999944120646,0.13347500003874302,0.17660000175237656,0.2409875001758337,0.2563625033944845,0.27604999393224716,0.2933625057339668,0.24243750236928463,1.1449241489171982,0.5706946030259132,3.131119281053543,0.438276082277298,0.13029374554753304,1.548176795244217,0.6728042364120483,,,,,,,,0.37609320878982544,0.20059866271913052,0.5906803831458092,0.10862625297158957,0.023145996499806643,0.33233729004859924,0.019415425835177302,0.37609320878982544,0.20059866271913052,0.5906803831458092,0.10862625297158957,0.023145996499806643,0.33233729004859924,germination - end of tillering,Broatefaeld,Arenenberg
2,S2B_MSIL2A_20220310T102739_N0400_R108_T32TMT_20220310T134645.SAFE,2022-03-10,641.1,0,0.833590567111969,0.10120589099824429,2.0863280594348907,0.28536875173449516,1.2340960253709454e-08,1.0224194154143333,0.5238687731325626,5.0,0.07280000019818544,0.10362500045448542,0.12064999993890524,0.1559000015258789,0.21008750051259995,0.2283749971538782,0.24309999868273735,0.25475000217556953,0.21537499874830246,1.040735885500908,0.560887947678566,2.277657240629196,0.39759406074881554,0.12405725754797459,1.1348978877067566,0.5651275664567947,,,,,,,,0.36053335294127464,0.17249087058007717,0.5934536457061768,0.0969064636155963,0.014860136434435844,0.29526836425065994,0.01752366148866713,0.36053335294127464,0.17249087058007717,0.5934536457061768,0.0969064636155963,0.014860136434435844,0.29526836425065994,germination - end of tillering,Broatefaeld,Arenenberg
3,S2B_MSIL2A_20220320T102639_N0400_R108_T32TNT_20220320T135549.SAFE,2022-03-20,719.2,0,0.949915736913681,0.10650121979415417,2.650687724351883,0.3357967883348465,3.619058430714972e-08,1.2824003994464874,0.5213248282670975,5.0,0.07173750083893538,0.10345000214874744,0.11689999885857105,0.158525001257658,0.23149999976158142,0.25367499329149723,0.2700124941766262,0.26292499899864197,0.21382499858736992,1.161473125219345,0.57084871083498,2.8234350383281708,0.4455217681825161,0.13054215721786022,1.3940349072217941,0.5492184683680534,,,,,,,,0.44429244846105576,0.2781643308699131,0.6856399849057198,0.14881144277751446,0.049883001018315554,0.3570129945874214,0.017158132628537714,0.44429244846105576,0.2781643308699131,0.6856399849057198,0.14881144277751446,0.049883001018315554,0.3570129945874214,germination - end of tillering,Broatefaeld,Arenenberg
4,S2A_MSIL2A_20220322T101711_N0400_R065_T32TNT_20220322T141030.SAFE,2022-03-22,735.8000000000001,0,0.9770514294505119,0.10896979738026857,2.7357236444950104,0.34671442583203316,7.915624067322824e-08,1.33699531853199,0.5302223041653633,5.0,0.06979999877512455,0.10710000060498714,0.11699999962002039,0.16445000283420086,0.2407499961555004,0.2648374941200018,0.28138749673962593,0.27306250110268593,0.21787500195205212,1.1778101176023483,0.5729764252901077,2.9014640152454376,0.4524199962615967,0.13202757388353348,1.4288181811571121,0.5524792075157166,,,,,,,,0.486051470041275,0.3001464232802391,0.8256279826164246,0.17290942557156086,0.05152745801024139,0.41716381907463074,0.01912992214784026,0.486051470041275,0.3001464232802391,0.8256279826164246,0.17290942557156086,0.05152745801024139,0.41716381907463074,germination - end of tillering,Broatefaeld,Arenenberg
5,S2A_MSIL2A_20220325T102651_N0400_R108_T32TNT_20220325T162307.SAFE,2022-03-25,766.4000000000001,0,1.0145289152860641,0.11912670359015465,2.8139448761940002,0.36409834772348404,2.1295679708543958e-07,1.372671902179718,0.4776599444448948,5.0,0.06378750083968043,0.09939999971538782,0.10521250031888485,0.153499998152256,0.24071250297129154,0.26557499542832375,0.28193748742341995,0.25850000232458115,0.1953625027090311,1.2088769525289536,0.5756920278072357,2.9586318135261536,0.46418676525354385,0.13396104611456394,1.4368404150009155,0.48970353603363037,,,,,,,,0.5741861090064049,0.35064492747187614,0.9191035181283951,0.19302383437752724,0.08947363402694464,0.5198763124644756,0.01673140865750611,0.5741861090064049,0.35064492747187614,0.9191035181283951,0.19302383437752724,0.08947363402694464,0.5198763124644756,germination - end of tillering,Broatefaeld,Arenenberg
6,S2B_MSIL2A_20220327T101629_N0400_R065_T32TNT_20220327T141610.SAFE,2022-03-27,790.5,0,1.0463223531842232,0.11693122610449791,3.084018796682358,0.3769095800817013,1.829355209537198e-07,1.4650902152061462,0.5207680687308311,5.0,0.07650000043213367,0.11125000100582838,0.11437499988824129,0.16186249814927578,0.25410000793635845,0.279874999076128,0.29544999822974205,0.2666499949991703,0.20317500084638596,1.2471345514059067,0.5773514583706856,3.1386644542217255,0.4758908376097679,0.13534606993198395,1.5243946760892868,0.5361925140023232,,,,,,,,0.5475292764604092,0.3618690222501755,0.910899244248867,0.19716206192970276,0.06682853633537889,0.49107780307531357,0.017534133745357394,0.5475292764604092,0.3618690222501755,0.910899244248867,0.19716206192970276,0.06682853633537889,0.49107780307531357,germination - end of tillering,Broatefaeld,Arenenberg
7,S2A_MSIL2A_20220411T101601_N0400_R065_T32TNT_20220411T135651.SAFE,2022-04-11,903.3000000000002,0,1.1481971889734268,0.4249776042997837,2.516332656145096,0.4512385055422783,0.09119010996073484,1.2670463472604752,0.2771688662469387,4.0,0.027712499955669045,0.06452500121667981,0.06416250020265579,0.11163749918341637,0.20976250432431698,0.22978749684989452,0.24537499994039536,0.18026249669492245,0.10998749919235706,1.1661496460437775,0.5921044796705246,2.303133487701416,0.4598856195807457,0.14011670276522636,1.1582449525594711,0.2571644615381956,,,,,,,,0.828519843518734,0.5027866251766682,1.324524074792862,0.2758235074579716,0.1399878952652216,0.5383358895778656,0.013810957549139857,1.1661496460437775,0.5921044796705246,2.303133487701416,0.4598856195807457,0.14011670276522636,1.1582449525594711,stem elongation - end of heading,Broatefaeld,Arenenberg
8,S2A_MSIL2A_20220414T102601_N0400_R108_T32TMT_20220414T155046.SAFE,2022-04-14,948.2000000000002,0,1.2942697554826736,0.382100909948349,3.157635122537613,0.49222995713353157,0.07402541628107429,1.4615900367498398,0.3844343461096287,4.0,0.04991250019520521,0.08833750057965517,0.08270000014454126,0.13642499782145023,0.25731250271201134,0.2879374958574772,0.30233749747276306,0.2246374972164631,0.15172499790787697,1.3051762580871582,0.5918949097394943,2.8814184069633484,0.5025047846138477,0.14499855041503906,1.3544712513685226,0.3557601124048233,,,,,,,,0.8211021572351456,0.5736525654792786,1.2272630333900452,0.30445728078484535,0.15426116064190865,0.7182065322995186,0.017106320708990097,1.3051762580871582,0.5918949097394943,2.8814184069633484,0.5025047846138477,0.14499855041503906,1.3544712513685226,stem elongation - end of heading,Broatefaeld,Arenenberg
9,S2B_MSIL2A_20220419T102559_N0400_R108_T32TMT_20220419T140845.SAFE,2022-04-19,1005.6000000000003,0,1.636333867907524,0.632472887635231,3.9781978130340576,0.6594092473387718,0.1746368110179901,1.8447893112897873,0.33070698380470276,4.0,0.040874999947845936,0.0740500008687377,0.06306249927729368,0.11967500112950802,0.26702500134706497,0.3094249963760376,0.3274124898016453,0.2040874995291233,0.13928749971091747,1.5243988782167435,0.6852352097630501,3.2597683668136597,0.5975870490074158,0.19096951186656952,1.5066292136907578,0.3015299141407013,,,,,,,,1.066340446472168,0.7368572950363159,1.585507795214653,0.4511416256427765,0.24526744335889816,0.8330138921737671,0.01694506942294538,1.5243988782167435,0.6852352097630501,3.2597683668136597,0.5975870490074158,0.19096951186656952,1.5066292136907578,stem elongation - end of heading,Broatefaeld,Arenenberg
